names,location,state,candidate_page,electoral_position,electoral_branch,electoral_level,area,campaign_website_url,camp_hand,off_hand,per_hand,party,error-type_link-name,error-type_heading-order,error-type_aria-allowed-role,error-type_image-alt,error-type_checkboxgroup,error-type_label,error-type_landmark-one-main,error-type_region,number_of_pages,number_of_total_errors,number_of_critical_errors,number_of_serious_errors,number_of_moderate_errors,number_of_minor_errors,number_of_words,number_of_unique_words,ease_of_reading,error-type_color-contrast,error-type_document-title,error-type_page-has-heading-one,error-type_object-alt,error-type_frame-title,error-type_empty-heading,error-type_duplicate-id,error-type_aria-valid-attr-value,error-type_meta-viewport,error-type_landmark-no-duplicate-banner,error-type_tabindex,error-type_html-has-lang,error-type_landmark-no-duplicate-contentinfo,error-type_bypass,error-type_skip-link,error-type_frame-title-unique,error-type_list,error-type_button-name,error-type_label-title-only,error-type_duplicate-id-active,error-type_radiogroup,error-type_duplicate-id-aria,error-type_aria-valid-attr,error-type_landmark-banner-is-top-level,error-type_landmark-main-is-top-level,error-type_aria-required-children,error-type_listitem,error-type_input-image-alt,error-type_autocomplete-valid,error-type_aria-allowed-attr,number_of_total_trackers,behaviour_event_listeners,canvas_fingerprinters,canvas_font_fingerprinters,cookies,fb_pixel_events,key_logging,session_recorders,third_party_trackers
Brent Holbrooks,Macon,North Carolina,"https://ballotpedia.org/Brent_Holbrooks_(Macon_County_Sheriff,_North_Carolina,_candidate_2022)",County Sheriff,Executive,County,,https://holbrooksforsheriff.com,,,,Republican Party,,7,,,,6,3,3,3,72,9,27,15,21,690,298,35.52333333,27,,2,,,3,18,,3,,,,,,,,,,,,,,,,,,,,,,408,346,59,2,0,0,0,0,1
Vickie Ann Hollifield,Madison,North Carolina,"https://ballotpedia.org/Vickie_Ann_Hollifield_(Madison_County_Board_of_Education_District_1,_North_Carolina,_candidate_2022)",County Board of Education,Executive,County,District 1,https://vickiehollifieldformcs.org,,,,Republican Party,,7,86,10,,,,4,4,126,11,0,11,104,897,311,60.9125,,,,,,,18,,,,,,,,,,,1,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0
Ted Bell,"McDowell, Rutherford",North Carolina,"https://ballotpedia.org/Ted_Bell_(North_Carolina_41st_Prosecutorial_District_Attorney,_North_Carolina,_candidate_2022)",Judicial elections,Judicial,County,,https://www.tedbellforda.com/,,,,Republican Party,68,24,,10,,108,41,41,41,387,125,152,109,1,10044,1729,53.26175,83,,3,,,1,,,,,,,,1,,,,,,,7,,,,,,,,,,438,347,59,2,10,4,0,0,16
Steven Hair,Montgomery,North Carolina,"https://ballotpedia.org/Steven_Hair_(Montgomery_County_Board_of_Commissioners_At-Large,_North_Carolina,_candidate_2022)",County Board of Commissioners,Legislative,County,At-Large,http://electstevehair.com,,,,Republican Party,,,,5,,,1,1,1,10,5,2,3,0,33,26,80.28,,,1,,,,,,,,,1,,1,,,,,,,,,,,,,,,,,438,349,59,2,10,0,0,0,18
Pete Herron,Montgomery,North Carolina,"https://ballotpedia.org/Pete_Herron_(Montgomery_County_Sheriff,_North_Carolina,_candidate_2022)",County Sheriff,Executive,County,,https://www.peteforsheriff.com,,,,Republican Party,32,,15,16,2,35,6,6,6,237,55,125,12,45,2360,686,57.05666667,58,,,,,17,13,2,,,,,,,,,,,35,,,,,,,,,,,,418,352,62,2,2,0,0,0,0
Jim Von Canon,Moore,North Carolina,"https://ballotpedia.org/Jim_Von_Canon_(Moore_County_Board_of_Commissioners_District_I,_North_Carolina,_candidate_2022)",County Board of Commissioners,Legislative,County,,https://www.jimvoncanon4commissioner.com,,,,Republican Party,7,,,,1,2,,6,6,23,3,13,7,0,360,73,52.36666667,6,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,488,369,63,2,7,0,0,0,47
Todd Maness,Moore,North Carolina,"https://ballotpedia.org/Todd_Maness_(Moore_County_Clerk_of_Superior_Court,_North_Carolina,_candidate_2022)",County Clerk of Superior Court,Judicial,County,,https://www.maness4clerk.com,,,,Republican Party,1,,,1,,,1,1,1,8,2,4,2,0,60,41,73.68,2,,,,,,,,1,,,1,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0
William (Bill) Britton,Moore,North Carolina,"https://ballotpedia.org/William_(Bill)_Britton_(Moore_County_Register_of_Deeds,_North_Carolina,_candidate_2022)",County Register of Deeds,Executive,County,,https://electbritton.com,,,,Republican Party,,7,175,7,,,,5,5,220,11,0,17,192,1330,298,57.736,,,,,,,17,,,,,,,,,,,4,,,,,,5,,,,,,,442,374,63,2,3,0,0,0,0
Ronnie Fields,Moore,North Carolina,"https://ballotpedia.org/Ronnie_Fields_(Moore_County_Sheriff,_North_Carolina,_candidate_2022)",County Sheriff,Executive,County,,https://www.fields2022.com,,,,Republican Party,,2,2,,,,,,2,8,0,4,2,2,50,22,73.76,,,,,,,,,,,2,,,,,,,,,2,,,,,,,,,,,453,382,63,2,3,0,0,0,3
David Brake,Nash,North Carolina,"https://ballotpedia.org/David_Brake_(Nash_County_Sheriff,_North_Carolina,_candidate_2022)",County Sheriff,Executive,County,,https://davidbrakeforsheriff.com,,,,Democratic Party,18,,,,,1,1,1,1,26,2,19,3,2,97,70,64.07,1,,1,,,,2,,1,,,,,,,,,,,,,,,,,,,,,,461,391,64,2,1,0,0,0,3
Travis C. Robinson,New Hanover,North Carolina,"https://ballotpedia.org/Travis_C._Robinson_(New_Hanover_County_Board_of_Commissioners,_North_Carolina,_candidate_2022)",County Board of Commissioners,Legislative,County,,https://www.electtravisrobinson.net,,,,Democratic Party,,,,,,,1,1,1,5,1,2,2,0,108,78,55.95,1,,,,,,,,1,,,1,,,,,,,,,,,,,,,,,,,476,408,64,2,2,0,0,0,0
Rob Zapple,New Hanover,North Carolina,"https://ballotpedia.org/Rob_Zapple_(New_Hanover_County_Board_of_Commissioners,_North_Carolina,_candidate_2022)",County Board of Commissioners,Legislative,County,,https://www.electrobzapple.com,,,,Democratic Party,11,,12,,,,,,12,45,0,28,5,12,2513,633,50.84833333,,,5,,1,,,,,,12,,,,,,,,,4,,,,,,,,,,,501,419,66,2,5,0,0,0,9
LeAnn Pierce,New Hanover,North Carolina,"https://ballotpedia.org/LeAnn_Pierce_(New_Hanover_County_Board_of_Commissioners,_North_Carolina,_candidate_2022)",County Board of Commissioners,Legislative,County,,https://www.electleannpierce.com,LeAnnPierce14,,,Republican Party,8,1,,,,,2,,4,41,1,22,9,9,1655,605,8.575,14,,4,,,,9,,,,,,,,,,,,,,,,,,2,1,,,,,539,436,67,2,5,0,0,0,29
Tom Toby,New Hanover,North Carolina,"https://ballotpedia.org/Tom_Toby_(New_Hanover_County_Board_of_Commissioners,_North_Carolina,_candidate_2022)",County Board of Commissioners,Legislative,County,,https://www.tomtobyfornhc.com,,,,Republican Party,1,,,1,,,1,1,1,8,2,4,2,0,60,41,73.68,2,,,,,,,,1,,,1,,,,,,,,,,,,,,,,,,,508,436,67,2,3,0,0,0,0
Josie Barnhart,New Hanover,North Carolina,"https://ballotpedia.org/Josie_Barnhart_(New_Hanover_County_Board_of_Education,_North_Carolina,_candidate_2022)",County Board of Education,Executive,County,,https://josieforschools.com,,,,Republican Party,2,9,6,,,155,48,48,48,761,203,432,118,8,20944,2409,53.21645833,261,,13,,1,2,,,48,,168,,,,,,,,,,,,,,,,,,,,511,442,67,2,0,0,0,0,0
Pat Bradford,New Hanover,North Carolina,"https://ballotpedia.org/Pat_Bradford_(New_Hanover_County_Board_of_Education,_North_Carolina,_candidate_2022)",County Board of Education,Executive,County,,https://www.electpatbradford.com,Patwbm7,,,Republican Party,,,,,,,10,10,10,30,0,10,20,0,134,34,13.64,,,,,,,,,,,,10,,,,,,,,,,,,,,,,,,,511,442,67,2,0,0,0,0,0
Chris Thomas,Onslow,North Carolina,"https://ballotpedia.org/Chris_Thomas_(Onslow_County_Sheriff,_North_Carolina,_candidate_2022)",County Sheriff,Executive,County,,https://christhomas4sheriff.com/,,,,Republican Party,5,1,,5,,,5,5,5,28,5,7,11,5,1060,380,54.248,1,,,,1,5,,,,,,,,,,,,,,,,,,,,,,,,,528,446,67,2,1,0,0,0,12
Robin Atkins Wierzbicki,Polk,North Carolina,"https://ballotpedia.org/Robin_Atkins_Wierzbicki_(Polk_County_Board_of_Education_Saluda_Township,_North_Carolina,_candidate_2022)",County Board of Education Saluda Township,Executive,County,,https://votelocalmatters.org,,,,Nonpartisan,,,,,,,1,,1,4,0,2,2,0,0,0,206.84,,1,1,,,,,,,,,1,,,,,,,,,,,,,,,,,,,532,457,69,2,4,0,0,0,0
Pam Hill,Randolph,North Carolina,"https://ballotpedia.org/Pam_Hill_(Randolph_County_Clerk_of_Superior_Court,_North_Carolina,_candidate_2022)",County Clerk of Superior Court,Judicial,County,,https://pamhillclerkofcourt.com/,,,,Republican Party,,6,212,20,,2,,,6,278,22,0,6,250,1477,516,-78.97166667,,,,,,,38,,,,,,,,,,,,,,,,,,,,,,,,544,470,69,2,3,0,0,0,0
Greg Seabolt,Randolph,North Carolina,"https://ballotpedia.org/Greg_Seabolt_(Randolph_County_Sheriff,_North_Carolina,_candidate_2022)",County Sheriff,Executive,County,,https://gregseaboltforsheriff.com,,,,Republican Party,124,6,,7,,192,46,46,43,493,189,172,126,6,11206,1026,-9.732380952,35,,37,,,6,,,,,,15,,3,,,,,,,,,,,,,,,,,544,472,69,2,1,0,0,0,0
Rick Watkins,Richmond,North Carolina,"https://ballotpedia.org/Rick_Watkins_(Richmond_County_Board_of_Commissioners,_North_Carolina,_candidate_2022)",County Board of Commissioners,Legislative,County,,http://www.votewatkinsnow.com/,VoteWatkinsNow,,,Republican Party,26,,,9,,,6,6,6,64,9,36,18,1,724,295,-58.948,,,6,,4,1,,,,,,6,,,,,,,,,,,,,,,,,,,548,476,69,2,0,0,0,0,1
Charlie Hall,Rockingham,North Carolina,"https://ballotpedia.org/Charlie_Hall_(Rockingham_County_Board_of_Commissioners,_North_Carolina,_candidate_2022)",County Board of Commissioners,Legislative,County,,https://charliehallforcommissioner.com/,,,,Republican Party,,,17,,,,,,7,78,0,54,7,17,488,146,62.17833333,52,1,,,1,,,,,7,,,,,,,,,,,,,,,,,,,,,551,476,72,2,1,0,0,0,0
Judy Klusman,Rowan,North Carolina,"https://ballotpedia.org/Judy_Klusman_(Rowan_County_Board_of_Commissioners,_North_Carolina,_candidate_2022)",County Board of Commissioners,Legislative,County,,http://voteklusman.com/,,,,Republican Party,,,10,,,,5,5,5,53,0,22,16,15,2488,633,29.442,16,,1,,,,5,,,5,,,,,,,1,,,,,,,,,,5,,,,576,482,72,2,1,4,0,0,15
Carlton Killian,Rowan,North Carolina,"https://ballotpedia.org/Carlton_Killian_(Rowan_County_Sheriff,_North_Carolina,_candidate_2022)",County Sheriff,Executive,County,,http://killianforsheriff.com/,,,,Democratic Party,2,1,,3,,1,2,2,2,18,6,6,6,0,3805,848,0.52,1,1,1,,,,,,1,,,2,,,,,,,,,,,,,,,,1,,,609,485,72,2,9,0,0,0,41
Brandon King,Stanly,North Carolina,"https://ballotpedia.org/Brandon_King_(Stanly_County_Board_of_Commissioners_District_3,_North_Carolina,_candidate_2022)",County Board of Commissioners,Legislative,County,District 3,https://www.electbrandonking.com/,,,,Republican Party,1,,,1,,,1,1,1,8,2,4,2,0,60,41,73.68,2,,,,,,,,1,,,1,,,,,,,,,,,,,,,,,,,561,486,72,2,1,0,0,0,0
Ginger Efird,Stanly,North Carolina,"https://ballotpedia.org/Ginger_Efird_(Stanly_County_Clerk_of_Superior_Court,_North_Carolina,_candidate_2022)",County Clerk of Superior Court,Judicial,County,,https://www.votegingerefird.com/,,,,Republican Party,1,1,1,,,3,1,1,1,19,3,12,3,1,865,383,39.26,8,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,564,487,73,2,2,0,0,0,0
Rick Morris,Stokes,North Carolina,"https://ballotpedia.org/Rick_Morris_(Stokes_County_Board_of_Commissioners,_North_Carolina,_candidate_2022)",County Board of Commissioners,Legislative,County,,https://rickmorriscommissioner.com/,,,,Republican Party,,1,,5,,,3,3,3,14,5,2,7,0,2262,711,36.95333333,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,569,491,73,2,3,0,0,0,0
Keith Wood,Stokes,North Carolina,"https://ballotpedia.org/Keith_Wood_(Stokes_County_Board_of_Commissioners,_North_Carolina,_candidate_2022)",County Board of Commissioners,Legislative,County,,https://rkeithwood.com/,,,,Republican Party,,4,90,3,,,,3,3,111,3,0,7,101,554,239,55.66666667,,,,,,,11,,,,,,,,,,,,,,,,,,,,,,,,574,496,73,2,3,0,0,0,0
Brad Lankford,Stokes,North Carolina,"https://ballotpedia.org/Brad_Lankford_(Stokes_County_Clerk_of_Superior_Court,_North_Carolina,_candidate_2022)",County Clerk of Superior Court,Judicial,County,,https://bradlankfordforclerk.com/,,,,Republican Party,,10,227,25,,,,7,7,289,25,0,17,247,6568,1548,49.01714286,,,,,,,20,,,,,,,,,,,,,,,,,,,,,,,,577,499,73,2,3,0,0,0,0
Joey Lemons,Stokes,North Carolina,"https://ballotpedia.org/Joey_Lemons_(Stokes_County_Sheriff,_North_Carolina,_candidate_2022)",County Sheriff,Executive,County,,https://www.joeylemons.com/,,,,Republican Party,,1,12,,,,,,5,34,0,19,3,12,383,208,58.394,13,,2,,1,,,,,,5,,,,,,,,,,,,,,,,,,,,612,518,75,2,5,0,0,0,12
Chuck Owenby,Transylvania,North Carolina,"https://ballotpedia.org/Chuck_Owenby_(Transylvania_County_Sheriff,_North_Carolina,_candidate_2022)",County Sheriff,Executive,County,,https://chuckowenbyforsheriff.com/,,,,Republican Party,6,,1,,,,6,6,6,50,0,33,14,3,939,337,41.20666667,26,,2,,1,2,,,,,,,,,,,,,,,,,,,,,,,,,618,524,79,3,4,0,0,0,8
Gina Palandri,Union,North Carolina,"https://ballotpedia.org/Gina_Palandri_(Union_County_Board_of_Commissioners,_North_Carolina,_candidate_2022)",County Board of Commissioners,Legislative,County,,https://www.ginaforunioncountycommissioner.com,GinaforUnion,,,Democratic Party,,,,,,,1,1,1,5,0,3,2,0,11,11,32.05,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,617,532,79,3,2,0,0,0,1
Brian W. Helms,Union,North Carolina,"https://ballotpedia.org/Brian_W._Helms_(Union_County_Board_of_Commissioners,_North_Carolina,_candidate_2022)",County Board of Commissioners,Legislative,County,,https://www.brianhelmsforbocc.com/,,,,Republican Party,16,1,,10,,86,16,16,16,184,103,44,36,1,3550,633,24.415,23,,3,,2,1,,,,,,,,3,,,,,,,7,,,,,,,,,,662,541,85,4,16,0,0,0,16
Melissa Merrell,Union,North Carolina,"https://ballotpedia.org/Melissa_Merrell_(Union_County_Board_of_Commissioners,_North_Carolina,_candidate_2022)",County Board of Commissioners,Legislative,County,,https://www.merrellforbocc.com/,,,,Republican Party,17,5,,1,,15,15,15,15,97,16,46,35,0,3368,942,31.12,21,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,646,542,85,4,7,0,0,0,8
Stony Rushing,Union,North Carolina,"https://ballotpedia.org/Stony_Rushing_(Union_County_Board_of_Commissioners,_North_Carolina,_candidate_2022)",County Board of Commissioners,Legislative,County,,http://stonyrushing.com,,,,Republican Party,,,,50,,,4,4,4,95,50,17,12,16,797,377,44.12333333,15,,4,,2,,16,,,,,,,,,,,,,,,,,,,,,,,,637,542,85,4,1,0,0,0,5
Wendy Maynard,Union,North Carolina,"https://ballotpedia.org/Wendy_Maynard_(Union_County_Clerk_of_Superior_Court,_North_Carolina,_candidate_2022)",County Clerk of Superior Court,Judicial,County,,https://votewendymaynard.com/,,,,Republican Party,1,1,1,,1,7,1,1,1,30,8,16,3,3,38,30,69.11,8,,,,,,2,,,,,,,,,,,,7,,,,,,,,,,,,647,544,86,4,5,0,0,0,8
Angela Laws King,Watauga,North Carolina,"https://ballotpedia.org/Angela_Laws_King_(Watauga_County_Board_of_Commissioners_District_1,_North_Carolina,_candidate_2022)",County Board of Commissioners,Legislative,County,District 1,https://www.angela4watauga.com,,,,Democratic Party,1,,,1,,,1,1,1,8,2,4,2,0,60,41,73.68,2,,,,,,,,1,,,1,,,,,,,,,,,,,,,,,,,637,544,86,4,3,0,0,0,0
Geoffrey Gray-Lobe,Clay,South Dakota,"https://ballotpedia.org/Geoffrey_Gray-Lobe_(Clay_County_Commissioner,_At_Large,_South_Dakota,_candidate_2022)",County Commissioner,Legislative,County,At Large,https://graylobeforclaycounty.org/,,,,Democratic Party,,,11,,,,,,5,35,0,7,5,23,826,414,53.45,,,5,,,1,11,,,,5,,,,,,,,,,,,,,,,,,2,,670,569,86,4,3,0,0,0,8
D. Lee Gabel,Codington,South Dakota,"https://ballotpedia.org/D._Lee_Gabel_(Codington_County_Commissioner,_District_1,_South_Dakota,_candidate_2022)",County Commissioner,Legislative,County,District 1,https://www.voteleegabel.org,,,,Republican Party,1,,174,6,,,,7,7,215,13,9,19,174,1539,505,-13.15857143,8,,5,,,,,,,7,,,,,,,,,,,,,,,,,,,,7,673,573,87,4,1,0,0,0,8
Tiffani Landeen,Lincoln,South Dakota,"https://ballotpedia.org/Tiffani_Landeen_(Lincoln_County_Commissioner,_District_3,_South_Dakota,_candidate_2022)",County Commissioner,Legislative,County,District 3,https://tiffanilandeen.com/,,,,Republican Party,3,4,45,5,,,,3,3,70,5,3,7,55,2720,697,26.66666667,,,,,,,10,,,,,,,,,,,,,,,,,,,,,,,,671,577,87,4,3,0,0,0,0
Gary Deering,Meade,South Dakota,"https://ballotpedia.org/Gary_Deering_(Meade_County_Commissioner,_District_1,_South_Dakota,_candidate_2022)",County Commissioner,Legislative,County,District 1,https://voteforgarydeering.com/,,,,Republican Party,,,1,,,,1,1,1,7,0,3,3,1,145,94,67.42,3,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,683,585,88,4,2,0,0,0,4
Pat West,Meade,South Dakota,"https://ballotpedia.org/Pat_West_(Meade_County_Sheriff,_South_Dakota,_candidate_2022)",County Sheriff,Executive,County,,http://www.patwestforsheriff.com/,,,,Republican Party,11,,,,,,6,5,6,50,4,29,17,0,1237,416,78.145,2,,6,,,,,,,,10,,,6,,,,2,,,,,,,,,,,,2,691,587,88,4,3,0,0,0,9
Robin Lynn Shrake,Meade,South Dakota,"https://ballotpedia.org/Robin_Lynn_Shrake_(Meade_County_Treasurer,_South_Dakota,_candidate_2022)",County Treasurer,Executive,County,,https://shrakeformeadecountytreasurer.com/,,,,Republican Party,175,47,,,,56,2,2,23,713,88,551,74,0,8089,603,55.12478261,349,,23,,,,,,,,27,,,,,,,32,,,,,,,,,,,,,699,593,91,4,2,0,0,0,9
Leah Anderson,Minnehaha,South Dakota,"https://ballotpedia.org/Leah_Anderson_(Minnehaha_County_Auditor,_South_Dakota,_candidate_2022)",County Auditor,Legislative,County,,https://www.leahforauditor.com/,,,,Republican Party,,,,,,,1,,1,4,0,2,2,0,0,0,206.84,,1,1,,,,,,,,,1,,,,,,,,,,,,,,,,,,,690,593,91,4,2,0,0,0,0
Nichole Cauwels,Minnehaha,South Dakota,"https://ballotpedia.org/Nichole_Cauwels_(Minnehaha_County_Commissioner,_At_Large,_South_Dakota,_candidate_2022)",County Commissioner,Legislative,County,At Large,https://cauwelsforcommission.com/,Cauwels4mcc,,,Democratic Party,,,5,,,,,,5,15,0,5,5,5,892,418,63.534,,,5,,,,,,,,5,,,,,,,,,,,,,,,,,,,,707,601,91,4,3,0,0,0,8
Tom Holmes,Minnehaha,South Dakota,"https://ballotpedia.org/Tom_Holmes_(Minnehaha_County_Commissioner,_At_Large,_South_Dakota,_candidate_2022)",County Commissioner,Legislative,County,At Large,https://tomforcountycommission.com/,,,,Democratic Party,,,,,,,1,1,1,5,0,2,3,0,0,0,206.84,1,,1,,,,,,,,,1,,,,,,,,,,,,,,,,,,,697,601,91,4,1,0,0,0,0
Jen Bleyenberg,Minnehaha,South Dakota,"https://ballotpedia.org/Jen_Bleyenberg_(Minnehaha_County_Commissioner,_At_Large,_South_Dakota,_candidate_2022)",County Commissioner,Legislative,County,At Large,https://www.votejenb.com/,,,,Republican Party,2,,,,1,1,,,5,9,2,6,1,0,1786,598,53.09,4,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,771,619,91,4,9,0,0,0,48
Joe Kippley,Minnehaha,South Dakota,"https://ballotpedia.org/Joe_Kippley_(Minnehaha_County_Commissioner,_At_Large,_South_Dakota,_candidate_2022)",County Commissioner,Legislative,County,At Large,https://joekippley.com/,,,,Republican Party,12,1,46,,1,7,4,10,10,256,8,157,24,67,2841,716,59.08,141,,5,,1,,21,,,,,,,,4,,,,2,1,,,,,,,,,,,747,627,95,4,20,0,1,0,0
Ron Rossknecht,Pennington,South Dakota,"https://ballotpedia.org/Ron_Rossknecht_(Pennington_County_Commissioner,_District_1,_South_Dakota,_candidate_2022)",County Commissioner,Legislative,County,District 1,https://ronrossknecht.com/,,,,Republican Party,,1,25,,,2,2,10,10,91,2,47,17,25,1782,603,61.824,45,,4,,,,,,,,,2,,,,,,,,,,,,,,,,,,,743,633,98,4,0,0,0,0,8
John R. Marquardt,Yankton,South Dakota,"https://ballotpedia.org/John_R._Marquardt_(Yankton_County_Commissioner,_At_Large,_South_Dakota,_candidate_2022)",County Commissioner,Legislative,County,At Large,https://electjohnmarquardt.com/,,,,Republican Party,,1,12,,,,,3,3,21,0,3,6,12,1377,503,45.57,3,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,747,634,101,4,0,0,0,0,8
Preston Crissey,Yankton,South Dakota,"https://ballotpedia.org/Preston_Crissey_(Yankton_County_Sheriff,_South_Dakota,_candidate_2022)",County Sheriff,Executive,County,,https://www.crissey4sheriff.com/,,,,Republican Party,1,,,1,,,1,1,1,8,2,4,2,0,60,41,73.68,2,,,,,,,,1,,,1,,,,,,,,,,,,,,,,,,,742,634,101,4,3,0,0,0,0
Todd A. Cimino-Johnson,Loudoun,Virginia,"https://ballotpedia.org/Todd_A._Cimino-Johnson_(Leesburg_Town_Council,_Virginia,_candidate_2022)",Council,Legislative,City,,https://www.toddforleesburg.com/,,,,Independent,,16,18,,,1,,,18,65,1,25,20,19,4214,1044,52.33722222,,,4,,,,1,,,,18,,,,,,,,,7,,,,,,,,,,,752,640,101,4,3,0,0,0,4
Neil R. Steinberg,Loudoun,Virginia,"https://ballotpedia.org/Neil_R._Steinberg_(Leesburg_Town_Council,_Virginia,_candidate_2022)",Council,Legislative,City,,http://www.forsteinberg.com,,,,Independent,,,,,,,,1,1,23,1,18,4,0,175,98,74.63,18,,1,,,,,,1,1,,,,,,,,,,,,,,1,,,,,,,777,646,103,4,8,0,0,0,16
C. B. Burk,Loudoun,Virginia,"https://ballotpedia.org/C._B._Burk_(Mayor_of_Leesburg,_Virginia,_candidate_2022)",Mayor,Executive,City,,http://www.kellyburkformayor.com,,,,Independent,,40,38,,,,,,38,190,0,108,44,38,4147,851,31.19105263,1,,4,,,,,,,,38,,,,,,,,,69,,,,,,,,,,,770,652,103,4,3,0,0,0,8
Frank B. Wright,Lynchburg,Virginia,"https://ballotpedia.org/Frank_B._Wright_(Lynchburg_City_Council,_At_Large,_Virginia,_candidate_2022)",City Council,Legislative,City,At Large,https://www.wrightforlynchburg.com,,,,Independent,,,,,,,1,1,1,5,0,2,3,0,0,0,206.84,1,,1,,,,,,,,,1,,,,,,,,,,,,,,,,,,,760,652,103,4,1,0,0,0,0
Curtis D. Bethany III,Newport News,Virginia,"https://ballotpedia.org/Curtis_D._Bethany_III_(Newport_News_City_Council,_Seat_B,_Virginia,_candidate_2022)",City Council,Legislative,City,,https://curtisbethany3.com/,,,,Independent,6,,53,,1,20,4,5,5,145,26,40,14,65,3688,885,46.88,34,,5,,,,12,,,,,,,,,,,,,,,5,,,,,,,,,774,656,110,5,3,0,0,0,0
