Library,Location,Homepage,Catalog,Current Automation System Name,Current Automation System Year,Previous Automation System Name,Previous Automation System Year,Previous Automation System_1 Name,Previous Automation System_1 Year,Previous Automation System_2 Name,Previous Automation System_2 Year,Discovery Interface Name,Discovery Interface Year,Previous Discovery Interface Name,Previous Discovery Interface Year,Previous Automation System_3 Name,Previous Automation System_3 Year,Federated search product Name,Federated search product Year,Web Content Management Name,Web Content Management Year,Item ID Type Name,Item ID Type Year,RFID Provider Name,RFID Provider Year,Catalog Enhancement Name,Catalog Enhancement Year,Discovery Service (w/index) Name,Discovery Service (w/index) Year,Self-Check Name,Self-Check Year,RFID Tag Type Name,RFID Tag Type Year,Digital Asset Management Name,Digital Asset Management Year,OpenURL Link resolver Name,OpenURL Link resolver Year,Electronic Resource Management Name,Electronic Resource Management Year,Automated Materials Handling Name,Automated Materials Handling Year,Institutional Repository Name,Institutional Repository Year,RFID Tag Vendor Name,RFID Tag Vendor Year,Archives Management Name,Archives Management Year,Previous Discovery Index Name,Previous Discovery Index Year,Previous Link resolver Name,Previous Link resolver Year
Fresno County Public Library,"Fresno County, CA",https://www.fresnolibrary.org/,http://hip1.sjvls.org/ipac20/load.jsp?profile=fhq&menu=search,Horizon,2003,Dynix,1990,,,,,,,,,,,,,,,RFID,,,,,,,,,,HF,,,,,,,,,,,,,,,,,,,
Frisco Public Library,"Frisco, TX",https://friscolibrary.com/,http://frpl.ent.sirsi.net,Symphony,2003,Athena,1996,,,,,BiblioCore,2019,,,,,,,Drupal,,RFID,,Envisionware,,LibraryThing for Libraries,,,,OneStop,,HF,,,,,,eResource Central,,Tech Logic -- Automated Sorting Technologies,,,,,,,,,,,
Gary Public Library,"Gary, IN",https://www.garypubliclibrary.org/,http://opac.garypubliclibrary.org/uhtbin/cgisirsi.exe/x/0/0/57/49?user_id=WEBSRV_EXT&password,Symphony,2002,DRA,1983,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grand Rapids Public Library,"Grand Rapids, MI",https://www.grpl.org/,http://catalog.grpl.org/,Evergreen -- Independent,2008,Millennium,2002,Dynix,1988,,,BiblioCore,,,,,,,,BiblioWeb,,RFID,,,,,,,,,,UHF,,,,,,,,,,,,,,,,,,,
Greensboro Library System,"Greensboro, NC",https://library.greensboro-nc.gov/,http://hiprpa.greensborolibrary.org/,OCLC Wise,2019,Horizon,2003,Dynix,1987,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gwinnett County Public Library,"Gwinnett County, GA",https://www.gwinnettpl.org/,https://gwinnett.bibliocommons.com/,Polaris,2013,Horizon,2003,Dynix,1997,VTLS,1984,Vega Discover,2022,BiblioCore,2017,,,,,WordPress,,RFID,,Bibliotheca,,LibraryThing for Libraries,,,,Bibliotheca,,HF,,,,,,,,,,,,TAGSYS,,,,,,,
Public Library of Cincinnati and Hamilton County,"Hamilton County, OH",https://chpl.org/,http://catalog.cincinnatilibrary.org/,Sierra,2012,Symphony,2003,Locally developed,1996,,,BiblioCore,2020,Encore,2012,,,,,BiblioWeb,,RFID,,,,,,,,,,HF,,,,,,,,,,,,,,,,,,,
Hamilton Public Library,"Hamilton, ON",https://www.hpl.ca/,http://hpl.bibliocommons.com/,Polaris,2015,Virtua,2013,Horizon,2004,Dynix,1995,BiblioCore,,,,DOBIS,1985,,,Drupal,,,,Bibliotheca-ITG,,,,,,,,,,,,,,,,,,,,,,,,,,,
Harris County Public Library,"Harris County, TX",https://www.hcpl.net/,http://hcpl2.ent.sirsi.net/client/en_US/adm,Symphony,2015,Horizon,2001,Dynix,1994,Carl,1990,BiblioCore,2022,Enterprise,2015,UTLAS,1985,,,BiblioWeb,,,,,,,,,,,,,,CONTENTdm,,360 Link,,,,,,,,,,,,,,,
Hartford Public Library,"Hartford, CT",https://www.hplct.org/,http://hplct.iii.com/,Symphony,2018,Millennium,2001,Innopac,1996,Carl,1988,Encore,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hayward Public Library,"Hayward, CA",https://www.hayward-ca.gov/public-library,https://hayward.bibliocommons.com/,Sierra,2002,Innopac,1997,VTLS,1987,,,BiblioCore,2020,Encore,,,,,,,,,,,,LibraryThing for Libraries,,,,,,,,,,,,,,,,,,,,,,,,,
Hennepin County Public Library,"Hennepin County, MN",https://www.hclib.org/,https://hclib.bibliocommons.com,Horizon,2005,Millennium,1998,Dynix,1993,,,BiblioCore,2016,Developed in-house,2013,,,,,Sitecore,,RFID,,FE Technologies,,,,,,3M SelfCheck System R-Series,,HF,,,,,,,,Tech Logic -- Automated Sorting Technologies,,,,,,,,,,,
Tampa-Hillsborough County Public Library,"Hillsborough County, FL",https://hcplc.org/,http://www.hcplc.org/cgi-bin/iactivities/catalog_redirect,Polaris,2012,Horizon,2002,Dynix,1993,,,BiblioCore,2019,,,,,,,,,RFID,,,,,,EBSCO Discovery Service,2016,,,HF,,,,,,,,,,,,,,,,,,,
Houston Public Library,"Houston, TX",https://houstonlibrary.org/home,https://halan.sdp.sirsi.net/client/hou,Symphony,2013,Millennium,1997,Carl,1993,DataPhase,1982,Enterprise,,AquaBrowser Library,,None,,,,,,RFID,,,,,,,,,,HF,,,,,,,,,,,,,,,,,,,
Howard County Library System,"Howard County, MD",https://hclibrary.org/,http://polaris.hclibrary.org/polaris/,Polaris,2010,Horizon,2005,Dynix,1993,,,,,AquaBrowser Library,,,,,,,,RFID,,Bibliotheca,,,,,,,,HF,,,,,,,,,,,,,,,,,,,
Indianapolis Public Library System,"Indianapolis, IN",https://www.indypl.org/,https://indypl.bibliocommons.com,Polaris,2019,Horizon,1999,PLUS,1987,,,BiblioCore,2018,Enterprise,2014,,,,,,,RFID,,PV Supa,,,,,,i-circ,,HF,,CONTENTdm,,,,,,PV Supa,,,,PV Supa,,,,,,,
