names,state,electoral_position,electoral_level,electoral_branch,candidate_page,campaign_website_url,camp_hand,off_hand,per_hand,party,election_result,number_of_votes_for_race,number_of_votes_for_candidate,vote_share,number_of_total_trackers,behaviour_event_listeners,canvas_fingerprinters,canvas_font_fingerprinters,cookies,fb_pixel_events,key_logging,session_recorders,third_party_trackers,location,area,competitiveness,google,google_analytics,facebook,electoral_level_3
Will Rollins,California,House,Federal,Legislative,https://ballotpedia.org/Will_Rollins,https://willrollinsforcongress.com,WillRollinsCA,,,Democratic Party,Lost,"185,043","89,269",0.482,84,17,2,0,23,0,0,0,42,California 41st,,0.018,7,10,0,Federal
John Briscoe,California,House,Federal,Legislative,https://ballotpedia.org/John_Briscoe,https://johnbriscoe.us/,johnfbriscoe,,,Republican Party,Lost,"75,877","27,467",0.362,65,11,4,0,6,4,0,0,40,California 42nd,,0.138,4,8,20,Federal
Christopher Gonzales,California,House,Federal,Legislative,https://ballotpedia.org/Christopher_Gonzales,https://gonzalesforcongress.com/,gonzalesforCA46,,,Republican Party,Lost,"78,836","32,345",0.41,50,9,1,0,5,0,0,0,35,California 46th,,0.09,15,20,0,Federal
Scott Baugh,California,House,Federal,Legislative,https://ballotpedia.org/Scott_Baugh,https://baughforcongress.com/,ScottBaughCA47,,ScottRBaugh,Republican Party,Lost,"259,268","125,509",0.484,61,10,6,0,5,4,0,0,36,California 47th,,0.016,4,7,20,Federal
Stephen Houlahan,California,House,Federal,Legislative,https://ballotpedia.org/Stephen_Houlahan,https://electhoulahan.com,electhoulahan,,SteveHoulahanRN,Democratic Party,Lost,"122,231","48,810",0.399,40,8,3,0,4,0,0,0,25,California 48th,,0.101,10,15,0,Federal
Brian Maryott,California,House,Federal,Legislative,https://ballotpedia.org/Brian_Maryott,https://maryottforcongress.com/,brianlmaryott,,,Republican Party,Lost,"287,769","136,493",0.474,34,6,4,0,3,0,0,0,21,California 49th,,0.026,4,5,0,Federal
Corey Gustafson,California,House,Federal,Legislative,https://ballotpedia.org/Corey_Gustafson,https://www.coreyforsandiego.com/,CoreyCA50,,,Republican Party,Lost,"145,020","57,972",0.4,20,6,4,0,2,0,0,0,8,California 50th,,0.1,4,4,0,Federal
Tyler Geffeney,California,House,Federal,Legislative,https://ballotpedia.org/Tyler_Geffeney,https://tyler4congress.com/,,,,Republican Party,Lost,"81,757","29,112",0.356,17,9,5,0,3,0,0,0,0,California 52nd,,0.144,0,0,0,Federal
Jennifer Qualteri,Colorado,House,Federal,Legislative,https://ballotpedia.org/Jennifer_Qualteri,https://jq4congressco.com/,jqualteri,,,Republican Party,Lost,"282,685","49,529",0.175,5,2,0,0,3,0,0,0,0,Colorado 1st,,0.325,0,0,0,Federal
Marshall Dawson,Colorado,House,Federal,Legislative,https://ballotpedia.org/Marshall_Dawson,https://dawsonforcongress.com,,,,Republican Party,Lost,"248,416","70,848",0.285,39,12,0,0,8,0,0,0,19,Colorado 2nd,,0.215,5,4,0,Federal
Adam Frisch,Colorado,House,Federal,Legislative,https://ballotpedia.org/Adam_Frisch,https://www.adamforcolorado.com/,AdamForColorado,,,Democratic Party,Lost,"327,285","163,293",0.499,95,12,9,0,35,2,0,0,37,Colorado 3rd,,0.001,10,2,8,Federal
Isaac McCorkle,Colorado,House,Federal,Legislative,https://ballotpedia.org/Ian_McCorkle,https://ike4co.com/,ike4co,,IkeMcCorkle,Democratic Party,Lost,"301,992","113,618",0.376,82,14,4,0,9,0,0,0,55,Colorado 4th,,0.124,4,8,0,Federal
Ryan McGonigal,Colorado,House,Federal,Legislative,https://ballotpedia.org/Ryan_McGonigal,https://www.ryan4congress.com/,ryan4congressco,,,American Constitution Party,Lost,"301,992","6,907",0.023,24,10,4,0,1,0,0,0,9,Colorado 4th,,0.477,1,0,0,Federal
David Torres,Colorado,House,Federal,Legislative,https://ballotpedia.org/David_Torres_(Colorado),https://www.davidtorres4congress.com,Cd5Torres,,DMFT4CO,Democratic Party,Lost,"277,964","111,978",0.403,27,6,4,0,2,0,0,0,15,Colorado 5th,,0.097,11,4,0,Federal
Eric Mulder,Colorado,House,Federal,Legislative,https://ballotpedia.org/Eric_Mulder,https://mulderforco.com,MulderForCO,,AgentMulder303,Libertarian Party,Lost,"191,725","3,033",0.016,3,0,0,0,3,0,0,0,0,Colorado 6th,,0.484,0,0,0,Federal
Erik Aadland,Colorado,House,Federal,Legislative,https://ballotpedia.org/Erik_Aadland,https://aadlandforcolorado.com/,AadlandforCO,,,Republican Party,Lost,"363,601","150,510",0.414,79,12,0,0,11,4,0,0,52,Colorado 7th,,0.086,4,12,16,Federal
Ross Klopf,Colorado,House,Federal,Legislative,https://ballotpedia.org/Ross_Klopf,https://klopfforcongress.com/,,,KlopfRoss,Libertarian Party,Lost,"363,601","6,187",0.017,6,3,0,0,3,0,0,0,0,Colorado 7th,,0.483,0,0,0,Federal
Larry Lazor,Connecticut,House,Federal,Legislative,https://ballotpedia.org/Larry_Lazor,https://lazorforcongress.com/,LarryLazor,,,Republican Party,Lost,"236,967","89,487",0.378,51,10,6,0,5,0,0,0,30,Connecticut 1st,,0.122,4,16,0,Federal
Mike France,Connecticut,House,Federal,Legislative,https://ballotpedia.org/Mike_France,https://votemikefrance.com/,MikeFranceCT2,,,Republican Party,Lost,"281,284","113,435",0.403,20,6,4,0,2,0,0,0,8,Connecticut 2nd,,0.097,4,0,0,Federal
Lesley DeNardis,Connecticut,House,Federal,Legislative,https://ballotpedia.org/Lesley_DeNardis,https://lesleyforcongress.com,lesleyforct,,,Republican Party,Lost,"234,686","96,388",0.411,2,2,0,0,0,0,0,0,0,Connecticut 3rd,,0.089,0,0,0,Federal
Amy Chai,Connecticut,House,Federal,Legislative,https://ballotpedia.org/Amy_Chai,https://docchai2022.com,docchai2022,,,Independent Party,Lost,"234,686","3,908",0.017,16,12,1,0,2,0,0,0,1,Connecticut 3rd,,0.483,0,0,0,Federal
Jayme Stevenson,Connecticut,House,Federal,Legislative,https://ballotpedia.org/Jayme_Stevenson,https://jaymestevensonforcongress.com,Jayme4Congress,,,Republican Party,Lost,"230,114","94,599",0.411,273,34,2,0,42,9,1,0,185,Connecticut 4th,,0.089,37,26,29,Federal
Rebekah Jones,Florida,House,Federal,Legislative,https://ballotpedia.org/Rebekah_Jones,https://www.rebekahjonescampaign.com/,GeoRebekah,,,Democratic Party,Lost,"289,672","93,178",0.322,116,21,6,0,11,4,0,0,74,Florida 1st,,0.178,4,6,20,Federal
Alfred Lawson,Florida,House,Federal,Legislative,https://ballotpedia.org/Alfred_Lawson,https://www.allawson.com,AlLawsonJr,,,Democratic Party,Lost,"300,715","120,842",0.402,11,6,4,0,0,0,0,0,1,Florida 2nd,,0.098,1,0,0,Federal
Danielle Hawk,Florida,House,Federal,Legislative,https://ballotpedia.org/Danielle_Hawk,https://www.daniellehawk.com/,HawkforCongress,,,Democratic Party,Lost,"284,658","103,254",0.363,44,7,0,0,5,0,0,0,32,Florida 3rd,,0.137,0,0,0,Federal
Karen Green,Florida,House,Federal,Legislative,https://ballotpedia.org/Karen_Green_(Florida),https://karengreenforflorida.com/,KarenforFlorida,,drkarengreen,Democratic Party,Lost,"304,055","126,079",0.415,1,0,0,0,1,0,0,0,0,Florida 7th,,0.085,0,0,0,Federal
Joanne Terry,Florida,House,Federal,Legislative,https://ballotpedia.org/Joanne_Terry,https://www.joanneterry.com/,Joanne4Congress,,,Democratic Party,Lost,"341,883","119,917",0.351,17,2,0,0,7,0,0,0,8,Florida 8th,,0.149,0,8,0,Federal
Scotty Moore,Florida,House,Federal,Legislative,https://ballotpedia.org/Scotty_Moore,https://www.scottymooreforcongress.com/,ScottyMoore4FL,,,Republican Party,Lost,"202,137","93,739",0.464,161,29,3,0,7,4,0,0,118,Florida 9th,,0.036,0,0,16,Federal
Calvin Wimbish,Florida,House,Federal,Legislative,https://ballotpedia.org/Calvin_Wimbish,https://votecal2022.org/,cbwimbish,,,Republican Party,Lost,"199,614","78,762",0.395,39,12,2,0,6,0,0,0,19,Florida 10th,,0.105,4,0,0,Federal
Kimberly Walker,Florida,House,Federal,Legislative,https://ballotpedia.org/Kimberly_Walker,https://kimberlyforcongress.com/,kw4congress,,,Democratic Party,Lost,"321,995","95,390",0.296,66,6,0,0,8,10,0,0,42,Florida 12th,,0.204,11,8,22,Federal
Eric Lynn,Florida,House,Federal,Legislative,https://ballotpedia.org/Eric_Lynn,https://www.ericlynnforcongress.com/,EricLynnFL,,,Democratic Party,Lost,"341,546","153,876",0.451,26,5,3,0,6,0,0,0,12,Florida 13th,,0.049,0,0,0,Federal
James Judge,Florida,House,Federal,Legislative,https://ballotpedia.org/James_Judge,https://judgeforcongress.com/,jamespjudge,,,Republican Party,Lost,"262,844","113,291",0.431,36,11,6,0,7,0,0,0,12,Florida 14th,,0.069,4,4,0,Federal
Jan Schneider,Florida,House,Federal,Legislative,https://ballotpedia.org/Jan_Schneider,https://votejan.com/,,,,Democratic Party,Lost,"305,358","115,575",0.378,3,0,0,0,3,0,0,0,0,Florida 16th,,0.122,0,0,0,Federal
Cindy Banyai,Florida,House,Federal,Legislative,https://ballotpedia.org/Cindy_Banyai,https://www.cindybanyai.com/,Cindy_Banyai_FL,,,Democratic Party,Lost,"313,274","100,226",0.32,101,22,2,0,9,0,0,0,68,Florida 19th,,0.18,0,0,0,Federal
Drew-Montez Clark,Florida,House,Federal,Legislative,https://ballotpedia.org/Drew-Montez_Clark,https://drewmontezclark.com/,drewmontezclark,,,Republican Party,Lost,"187,846","52,057",0.277,81,13,8,1,6,4,0,0,49,Florida 20th,,0.223,4,7,22,Federal
Corinna Robinson,Florida,House,Federal,Legislative,https://ballotpedia.org/Corinna_Robinson,https://www.corinnaforflorida.us/,CorinnaRobinson,,,Democratic Party,Lost,"328,120","119,712",0.365,46,13,1,0,5,0,0,0,27,Florida 21st,,0.135,0,0,0,Federal
Dan Franzese,Florida,House,Federal,Legislative,https://ballotpedia.org/Dan_Franzese,https://danforfl.com/,danforfl,,,Republican Party,Lost,"271,730","122,038",0.449,117,18,3,0,6,0,0,0,90,Florida 22nd,,0.051,8,15,0,Federal
Jesus G. Navarro,Florida,House,Federal,Legislative,https://ballotpedia.org/Jesus_Navarro,https://www.jesusgnavarro.com/,Jesus_G_Navarro,,,Republican Party,Lost,"185,765","52,413",0.282,48,15,0,0,7,0,0,0,26,Florida 24th,,0.218,0,0,0,Federal
Carla Spalding,Florida,House,Federal,Legislative,https://ballotpedia.org/Carla_Spalding,https://carlaspaldingforcongress.com/,CarlaSpaldingFL,,,Republican Party,Lost,"233,499","104,819",0.449,25,6,0,0,10,0,0,0,9,Florida 25th,,0.051,4,0,4,Federal
Christine Alexandria Olivo,Florida,House,Federal,Legislative,https://ballotpedia.org/Christine_Alexandria_Olivo,https://www.christineforcongress.org/,ChristineforFL,,,Democratic Party,Lost,"201,982","58,794",0.291,52,13,0,0,5,0,0,0,34,Florida 26th,,0.209,0,0,0,Federal
Wade Herring,Georgia,House,Federal,Legislative,https://ballotpedia.org/Wade_Herring,https://www.wadeherringforcongress.com/,wadeherringga1,,,Democratic Party,Lost,"263,674","107,659",0.408,57,21,2,0,10,0,0,0,24,Georgia 1st,,0.092,0,0,0,Federal
Chris West,Georgia,House,Federal,Legislative,https://ballotpedia.org/Chris_West_(Georgia),https://chriswestga.com/,ChrisWestGA,,,Republican Party,Lost,"240,516","108,267",0.45,73,11,5,0,7,0,0,0,50,Georgia 2nd,,0.05,25,14,0,Federal
Val Almonord,Georgia,House,Federal,Legislative,https://ballotpedia.org/Val_Almonord,https://almonordforcongress.com/,valforcongress3,,,Democratic Party,Lost,"310,241","96,788",0.312,37,10,0,0,4,3,0,0,20,Georgia 3rd,,0.188,4,4,12,Federal
Christian Zimm,Georgia,House,Federal,Legislative,https://ballotpedia.org/Christian_Zimm,https://www.christianzimm.com,ChristianZimm_,,,Republican Party,Lost,"294,298","51,594",0.175,3,0,0,0,3,0,0,0,0,Georgia 5th,,0.325,0,0,0,Federal
Bob Christian,Georgia,House,Federal,Legislative,https://ballotpedia.org/Bob_Christian,https://christianforga6.com/,ChristianForGA6,,,Democratic Party,Lost,"324,768","122,053",0.376,83,17,2,0,6,0,0,0,58,Georgia 6th,,0.124,10,9,0,Federal
Mark Gonsalves,Georgia,House,Federal,Legislative,https://ballotpedia.org/Mark_Gonsalves,https://markforgeorgia.com,MarkCongressGA7,,,Republican Party,Lost,"234,339","91,262",0.389,38,10,2,0,4,0,0,0,22,Georgia 7th,,0.111,8,4,0,Federal
Darrius Butler,Georgia,House,Federal,Legislative,https://ballotpedia.org/Darrius_Butler,https://www.darriusbutler.com/,revdbutler,,,Democratic Party,Lost,"260,293","81,733",0.314,3,0,0,0,3,0,0,0,0,Georgia 8th,,0.186,0,0,0,Federal
Tabitha Johnson-Green,Georgia,House,Federal,Legislative,https://ballotpedia.org/Tabitha_Johnson-Green,https://www.tabithaforcongress.com/,Tabitha57363624,,,Democratic Party,Lost,"307,487","109,074",0.355,3,0,0,0,3,0,0,0,0,Georgia 10th,,0.145,0,0,0,Federal
Antonio Daza,Georgia,House,Federal,Legislative,https://ballotpedia.org/Antonio_Daza,https://votedaza.com/,VoteDaza2022,,AntonioDaza,Democratic Party,Lost,"302,138","112,722",0.373,17,5,0,0,6,0,0,0,6,Georgia 11th,,0.127,6,0,0,Federal
Liz Johnson,Georgia,House,Federal,Legislative,https://ballotpedia.org/Liz_Johnson_(Georgia),https://www.lizjohnsonforus.com/,lizjohnsonforus,,,Democratic Party,Lost,"265,015","107,079",0.404,3,0,0,0,3,0,0,0,0,Georgia 12th,,0.096,0,0,0,Federal
Caesar Gonzales,Georgia,House,Federal,Legislative,https://ballotpedia.org/Caesar_Gonzales,https://caesargonzalesforcongress.us,Mechracer74,,,Republican Party,Lost,"263,832","48,129",0.182,37,13,3,0,8,0,0,0,13,Georgia 13th,,0.318,0,0,0,Federal
Marcus Flowers,Georgia,House,Federal,Legislative,https://ballotpedia.org/Marcus_Flowers,https://marcusforgeorgia.com/,Marcus4Georgia,,,Democratic Party,Lost,"258,005","88,018",0.341,41,9,5,0,4,0,0,0,23,Georgia 14th,,0.159,0,0,0,Federal
Conrad Kress,Hawaii,House,Federal,Legislative,https://ballotpedia.org/Conrad_Kress,https://conradkressforhawaii.com/,conradkressHI01,,,Republican Party,Lost,"150,349","34,323",0.228,132,11,1,0,48,0,0,0,72,Hawaii 1st,,0.272,17,12,0,Federal
Darian Drake,Idaho,House,Federal,Legislative,https://ballotpedia.org/Darian_Drake,https://darian.us,DarianDrake,,,Libertarian Party,Lost,"223,596","5,485",0.025,18,5,4,0,1,0,0,0,8,Idaho 1st,,0.475,0,0,0,Federal
Eric Carlson,Illinois,House,Federal,Legislative,https://ballotpedia.org/Eric_Carlson,https://www.ericcarlsonforcongress.com/,EricCarlsonIL01,,,Republican Party,Lost,"237,425","78,258",0.33,3,0,0,0,3,0,0,0,0,Illinois 1st,,0.17,0,0,0,Federal
Justin Burau,Illinois,House,Federal,Legislative,https://ballotpedia.org/Justin_Burau,https://www.burauforcongress.com/,JustinBurau,,,Republican Party,Lost,"162,717","54,147",0.333,68,16,2,0,8,0,0,0,42,Illinois 3rd,,0.167,13,8,0,Federal
James Falakos,Illinois,House,Federal,Legislative,https://ballotpedia.org/James_Falakos,https://falakos4congress.com/,,,,Republican Party,Lost,"133,047","37,352",0.281,18,12,3,0,2,0,0,0,1,Illinois 4th,,0.219,0,0,0,Federal
Jerico Matias Cruz,Illinois,House,Federal,Legislative,https://ballotpedia.org/Jerico_Matias_Cruz,https://cruzforuscongress.org/,cruzforuscong,,,Independent,Lost,"239,957","3,920",0.016,26,9,2,0,5,0,0,0,10,Illinois 5th,,0.484,0,0,0,Federal
Keith Pekau,Illinois,House,Federal,Legislative,https://ballotpedia.org/Keith_Pekau,https://www.keithpekau.com/,KeithPekau,,MayorPekau,Republican Party,Lost,"276,859","126,351",0.456,34,14,4,0,3,0,0,0,13,Illinois 6th,,0.044,1,0,0,Federal
Max Rice,Illinois,House,Federal,Legislative,https://ballotpedia.org/Max_Rice,https://www.maxriceforcongress.com/,checkrice,,,Republican Party,Lost,"200,803","56,055",0.279,106,27,3,0,10,0,0,0,66,Illinois 9th,,0.221,0,0,0,Federal
Joseph Severino,Illinois,House,Federal,Legislative,https://ballotpedia.org/Joseph_Severino,https://www.severinoforcongress.com/,Joe_Severino,,,Republican Party,Lost,"220,701","80,642",0.365,3,0,0,0,3,0,0,0,0,Illinois 10th,,0.135,0,0,0,Federal
Catalina Lauf,Illinois,House,Federal,Legislative,https://ballotpedia.org/Catalina_Lauf,https://www.catalinaforcongress.com/,CatalinaLauf,,,Republican Party,Lost,"264,241","115,069",0.435,56,8,1,0,11,0,1,0,35,Illinois 11th,,0.065,5,0,0,Federal
Regan Deering,Illinois,House,Federal,Legislative,https://ballotpedia.org/Regan_Deering,https://www.regan4congress.com,Regan4Congress,,,Republican Party,Lost,"236,096","106,853",0.453,38,10,2,0,5,0,0,0,21,Illinois 13th,,0.047,4,8,0,Federal
Scott Gryder,Illinois,House,Federal,Legislative,https://ballotpedia.org/Scott_Gryder,https://www.scottgryder.com/,Gryder4Congress,,,Republican Party,Lost,"231,875","107,247",0.463,65,9,4,0,28,0,0,0,24,Illinois 14th,,0.037,7,0,0,Federal
Elizabeth Haderlein,Illinois,House,Federal,Legislative,https://ballotpedia.org/Elizabeth_Haderlein,https://haderleinforcongress.com/,LisaHaderlein,,,Democratic Party,Lost,"238,500","79,705",0.334,6,3,0,0,3,0,0,0,0,Illinois 16th,,0.166,0,0,0,Federal
Jennifer-Ruth Green,Indiana,House,Federal,Legislative,https://ballotpedia.org/Jennifer-Ruth_Green,https://jennifer-ruthgreen.com/,JenRuthGreen,,,Republican Party,Lost,"213,207","100,542",0.472,75,9,0,0,14,4,0,0,48,Indiana 1st,,0.028,8,0,16,Federal
Nathan Gotsch,Indiana,House,Federal,Legislative,https://ballotpedia.org/Nathan_Gotsch,https://www.nathanforus.com,NathanCongress,,,Independent,Lost,"239,647","11,158",0.047,18,11,0,0,3,0,0,0,4,Indiana 3rd,,0.453,0,0,0,Federal
Jeannine Lee Lake,Indiana,House,Federal,Legislative,https://ballotpedia.org/Jeannine_Lee_Lake,https://jeannineleelakeforcongress.com/,lakeforcongress,,,Democratic Party,Lost,"239,869","93,373",0.389,14,8,4,0,2,0,0,0,0,Indiana 5th,,0.111,0,0,0,Federal
Cynthia Wirth,Indiana,House,Federal,Legislative,https://ballotpedia.org/Cynthia_Wirth,https://www.wirth4congress.com,cwirth4congress,,cindewirth,Democratic Party,Lost,"174,112","55,716",0.32,20,5,0,0,6,0,0,0,9,Indiana 6th,,0.18,3,6,0,Federal
Angela Grabovsky,Indiana,House,Federal,Legislative,https://ballotpedia.org/Angela_Grabovsky,https://angelaforindiana.com/,angelaforIN7,,,Republican Party,Lost,"163,122","49,983",0.306,68,9,5,0,19,0,0,0,35,Indiana 7th,,0.194,6,8,0,Federal
Andy Horning,Indiana,House,Federal,Legislative,https://ballotpedia.org/Andy_Horning,https://horning4congress.com/,HorningCongress,,,Libertarian Party,Lost,"209,549","5,780",0.028,28,3,4,0,0,0,0,0,21,Indiana 8th,,0.472,0,0,0,Federal
Matthew Fyfe,Indiana,House,Federal,Legislative,https://ballotpedia.org/Matthew_Fyfe,https://mattfyfe.com/,Hoosiers4Fyfe,,,Democratic Party,Lost,"225,276","75,700",0.336,52,11,3,0,5,4,0,0,29,Indiana 9th,,0.164,4,5,20,Federal
Tonya Millis,Indiana,House,Federal,Legislative,https://ballotpedia.org/Tonya_Millis,https://tonyaforcongress.com/,,,,Libertarian Party,Lost,"225,276","6,374",0.028,25,4,4,0,0,0,0,0,17,Indiana 9th,,0.472,0,0,0,Federal
Liz Mathis,Iowa,House,Federal,Legislative,https://ballotpedia.org/Liz_Mathis,https://lizmathis.com/,LizMathis1,,,Democratic Party,Lost,"303,976","136,072",0.448,51,6,4,0,7,4,0,0,30,Iowa 2nd,,0.052,8,4,16,Federal
Cindy Axne,Iowa,House,Federal,Legislative,https://ballotpedia.org/Cindy_Axne,https://cindyaxneforcongress.com/,Axne4Congress,,,Democratic Party,Lost,"310,855","154,084",0.496,59,10,4,0,4,8,0,0,33,Iowa 3rd,,0.004,5,8,20,Federal
Ryan Melton,Iowa,House,Federal,Legislative,https://ballotpedia.org/Ryan_Melton,https://meltonforiowa.com,melton4iowa,,,Democratic Party,Lost,"234,537","71,063",0.303,20,12,0,0,4,0,0,0,4,Iowa 4th,,0.197,0,0,0,Federal
James Beard,Kansas,House,Federal,Legislative,https://ballotpedia.org/James_Beard_(Kansas),https://www.jimmyforkansas.com/,,,,Democratic Party,Lost,"205,085","67,653",0.33,18,11,0,0,3,0,0,0,4,Kansas 1st,,0.17,0,0,0,Federal
Patrick Schmidt,Kansas,House,Federal,Legislative,https://ballotpedia.org/Patrick_Schmidt,https://www.patrickforkansas.com,PatrickforKS,,,Democratic Party,Lost,"233,358","98,852",0.424,4,3,0,0,1,0,0,0,0,Kansas 2nd,,0.076,0,0,0,Federal
Amanda Adkins,Kansas,House,Federal,Legislative,https://ballotpedia.org/Amanda_Adkins,https://www.amandaadkins.com/,amanda_adkins,,,Republican Party,Lost,"287,966","122,986",0.427,29,3,4,0,6,0,0,0,16,Kansas 3rd,,0.073,4,12,0,Federal
Steve Hohe,Kansas,House,Federal,Legislative,https://ballotpedia.org/Steve_Hohe,https://steveforcongressks3.com/,stevehoheks,,,Libertarian Party,Lost,"287,966","6,557",0.023,6,3,0,0,3,0,0,0,0,Kansas 3rd,,0.477,0,0,0,Federal
Hank Linderman,Kentucky,House,Federal,Legislative,https://ballotpedia.org/Hank_Linderman,https://hank4ky.com/,hank4ky,,,Democratic Party,Lost,"142,046","38,002",0.268,32,20,1,0,0,0,0,0,11,Kentucky 2nd,,0.232,0,0,0,Federal
Matthew Lehman,Kentucky,House,Federal,Legislative,https://ballotpedia.org/Matthew_Lehman_(Kentucky),https://lehman4kentucky.org/,lehman4kentucky,,,Democratic Party,Lost,"257,212","79,911",0.311,3,2,0,0,1,0,0,0,0,Kentucky 4th,,0.189,0,0,0,Federal
Ethan Osborne,Kentucky,House,Federal,Legislative,https://ballotpedia.org/Ethan_Osborne,https://oz2022.us,Oz2022us,,KYPirateParty,white,Lost,"257,212","10,091",0.039,4,2,0,0,2,0,0,0,0,Kentucky 4th,,0.461,0,0,0,Federal
Randy Cravens,Kentucky,House,Federal,Legislative,https://ballotpedia.org/Randy_Cravens,https://www.randycravens.com,randycravens,,,Democratic Party,Lost,"245,844","8,340",0.034,3,1,0,0,2,0,0,0,0,Kentucky 6th,,0.466,0,0,0,Federal
Ed Thelander,Maine,House,Federal,Legislative,https://ballotpedia.org/Ed_Thelander,https://thelanderforcongress.com/,EdForMaine,,,Republican Party,Lost,"349,176","129,263",0.37,13,8,3,0,2,0,0,0,0,Maine 1st,,0.13,0,0,0,Federal
